epoch,learning_rate,loss,mae,val_loss,val_mae
0,9.999999747378752e-05,0.3266240954399109,0.18506594002246857,0.42014843225479126,0.20362111926078796
1,9.999999747378752e-05,0.16437162458896637,0.1296200007200241,0.34169819951057434,0.18396562337875366
2,9.999999747378752e-05,0.13459742069244385,0.11918114870786667,0.2570383548736572,0.16030363738536835
3,9.999999747378752e-05,0.12262503057718277,0.11382237076759338,0.188132643699646,0.1392439901828766
4,9.999999747378752e-05,0.11340144276618958,0.10896037518978119,0.13819478452205658,0.11956985294818878
5,9.999999747378752e-05,0.10815946012735367,0.1070403978228569,0.11450789123773575,0.10649876296520233
6,9.999999747378752e-05,0.10416397452354431,0.10453934967517853,0.11388272047042847,0.10574731230735779
7,9.999999747378752e-05,0.10029391199350357,0.10218147933483124,0.10773053020238876,0.10221713036298752
8,9.999999747378752e-05,0.09541041404008865,0.0975637212395668,0.09655588865280151,0.09649767726659775
9,9.999999747378752e-05,0.09447816759347916,0.09640515595674515,0.10299474745988846,0.10118868201971054
10,9.999999747378752e-05,0.09187179803848267,0.09451828896999359,0.09407119452953339,0.09411298483610153
11,9.999999747378752e-05,0.0907791331410408,0.09403698146343231,0.09277686476707458,0.0933479443192482
12,9.999999747378752e-05,0.09016132354736328,0.09356909990310669,0.09052724391222,0.08963534981012344
13,9.999999747378752e-05,0.08658181130886078,0.09113211929798126,0.08642937988042831,0.08783629536628723
14,9.999999747378752e-05,0.08578062802553177,0.0913965106010437,0.09004479646682739,0.08942516893148422
15,9.999999747378752e-05,0.08372355252504349,0.08952851593494415,0.08894989639520645,0.08874452114105225
16,9.999999747378752e-05,0.08251195400953293,0.08882001042366028,0.08486314862966537,0.08661524206399918
17,9.999999747378752e-05,0.08321301639080048,0.08882886171340942,0.08388884365558624,0.0854799747467041
18,9.999999747378752e-05,0.08107781410217285,0.08763112127780914,0.08461299538612366,0.0863843783736229
19,9.999999747378752e-05,0.08066615462303162,0.0878966748714447,0.08251151442527771,0.08543554693460464
20,9.999999747378752e-05,0.08028500527143478,0.08781635016202927,0.08433511108160019,0.08689271658658981
21,9.999999747378752e-05,0.07794103026390076,0.08577227592468262,0.0801219493150711,0.08347491919994354
22,9.999999747378752e-05,0.07932943850755692,0.08664733916521072,0.08881641924381256,0.08850596845149994
23,9.999999747378752e-05,0.07945217192173004,0.08705590665340424,0.08053853362798691,0.08425507694482803
24,9.999999747378752e-05,0.07854864746332169,0.08657697588205338,0.07824503630399704,0.0825297087430954
25,9.999999747378752e-05,0.07719774544239044,0.08641164004802704,0.07952545583248138,0.08320273458957672
26,9.999999747378752e-05,0.07488042861223221,0.08437182754278183,0.07826533913612366,0.08195438981056213
27,9.999999747378752e-05,0.07494231313467026,0.08457792550325394,0.08195065706968307,0.08472516387701035
28,9.999999747378752e-05,0.07498972862958908,0.08441197127103806,0.0796700045466423,0.08374524116516113
29,9.999999747378752e-05,0.07506712526082993,0.08397398144006729,0.0849786028265953,0.0859290137887001
30,4.999999873689376e-05,0.07240009307861328,0.08282531052827835,0.07744541764259338,0.08095622062683105
31,4.999999873689376e-05,0.07120673358440399,0.08099976181983948,0.07807394862174988,0.08235087990760803
32,4.999999873689376e-05,0.07345768064260483,0.08308449387550354,0.07693678885698318,0.08108090609312057
33,4.999999873689376e-05,0.0703369528055191,0.0807570219039917,0.07553763687610626,0.0794585719704628
34,4.999999873689376e-05,0.07198256254196167,0.08238235861063004,0.07805106788873672,0.08355312794446945
35,4.999999873689376e-05,0.07141954451799393,0.0819554328918457,0.07414129376411438,0.07954978197813034
36,4.999999873689376e-05,0.07095666229724884,0.08155215531587601,0.07564739882946014,0.08018708229064941
37,4.999999873689376e-05,0.07098878920078278,0.08155893534421921,0.07682579755783081,0.08109929412603378
38,4.999999873689376e-05,0.07073052227497101,0.0810542032122612,0.07518403977155685,0.08018286526203156
39,4.999999873689376e-05,0.06956934183835983,0.07993622869253159,0.07524807751178741,0.0801754966378212
40,4.999999873689376e-05,0.0698796883225441,0.0802382379770279,0.07318180799484253,0.0784231424331665
41,4.999999873689376e-05,0.069283626973629,0.08002298325300217,0.07246079295873642,0.07821490615606308
42,4.999999873689376e-05,0.07000432163476944,0.07972098141908646,0.08133035153150558,0.08601860702037811
43,4.999999873689376e-05,0.06949906796216965,0.08056000620126724,0.07300732284784317,0.07870659977197647
44,4.999999873689376e-05,0.06904023885726929,0.07990748435258865,0.07393229007720947,0.07892466336488724
45,4.999999873689376e-05,0.06859913468360901,0.0789937824010849,0.07196486741304398,0.07779838144779205
46,4.999999873689376e-05,0.0680355429649353,0.0790463462471962,0.07350440323352814,0.0796431228518486
47,4.999999873689376e-05,0.06792628020048141,0.0788457915186882,0.07354098558425903,0.07867199927568436
48,4.999999873689376e-05,0.06877173483371735,0.08005736023187637,0.07430242747068405,0.0787457600235939
49,4.999999873689376e-05,0.06932532042264938,0.0793825313448906,0.08416852355003357,0.08400297164916992
